SO1,Obvodová stena ŠD,Unnamed: 2,Unnamed: 3,465.1,Unnamed: 5,Unnamed: 6,Unnamed: 7,STR1,Plochá strecha ŠD,Unnamed: 10,Unnamed: 11,825.5,Unnamed: 13,Unnamed: 14,Unnamed: 15,PDL1,Podlaha na teréne ŽS,Unnamed: 18,Unnamed: 19,825.5.1,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
Odpor konštrukcie pri prechode tepla ,,,R0 =,4.77156862745098,,,,,,,,,,,,,,,,,,,,,
Súčiniteľ prechodu tepla,,,U =,0.2095746866652969,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
SO4,Obvodová stena Jedáleň,,,333,,,,,,,,,,,,,,,,,,,,,
Odpor pri prestupe tepla na vnútornej strane k-cie ,,,Rsi =,0.13,,,,,,,,,,,,,,,,,,,,,
Názov vrstvy konštrukcie,,dj [m],λj [W/(m.K)],Rj [m2.K/W],,,,,,,,,,,,,,,,,,,,,
Vápennocementová omietka,,0.012,0.9,0.013333333333333332,,,,,,,,,,,,,,,,,,,,,
keramické panely,,0.4,0.35,1.142857142857143,,,,,,,,,,,,,,,,,,,,,
TI minerálna vlna,,0.13,0.04,3.25,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Celková hrúbka konštrukcie ,,0.542,∑Rj = ,4.406190476190476,,,,,,,,,,,,,,,,,,,,,
Odpor pri prestupe tepla na vonkajšej strane k-cie,,,Rse =,0.04,,,,,,,,,,,,,,,,,,,,,
Odpor konštrukcie pri prechode tepla ,,,R0 =,4.576190476190476,,,,,,,,,,,,,,,,,,,,,
Súčiniteľ prechodu tepla,,,U =,0.21852237252861603,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
SO5,Obvodová stena Jedáleň2,,,1912.6,,,,,,,,,,,,,,,,,,,,,
Odpor pri prestupe tepla na vnútornej strane k-cie ,,,Rsi =,0.13,,,,,,,,,,,,,,,,,,,,,
Názov vrstvy konštrukcie,,dj [m],λj [W/(m.K)],Rj [m2.K/W],,,,,,,,,,,,,,,,,,,,,
Vápennocementová omietka,,0.0015,0.9,0.0016666666666666666,,,,,,,,,,,,,,,,,,,,,
betón ŽB,,0.15,1.7,0.08823529411764706,,,,,,,,,,,,,,,,,,,,,
TI minerálna vlna,,0.17,0.04,4.25,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Celková hrúbka konštrukcie ,,0.3215,∑Rj = ,4.339901960784314,,,,,,,,,,,,,,,,,,,,,
Odpor pri prestupe tepla na vonkajšej strane k-cie,,,Rse =,0.04,,,,,,,,,,,,,,,,,,,,,
Odpor konštrukcie pri prechode tepla ,,,R0 =,4.509901960784314,,,,,,,,,,,,,,,,,,,,,
Súčiniteľ prechodu tepla,,,U =,0.22173431012369296,,,,,,,,,,,,,,,,,,,,,
