Unnamed: 0,P.č.,Názov konštrukcie,Unnamed: 3,Unnamed: 4,hrúbka,plocha,U
,SO1,Obvodová stena ŠD,,,0.3815,465.1,0.3301627230563635
,SO2,Obvodová stena ŠD2,,,0.5419999999999999,1217.2,0.3189372602924072
,SO3,Obvodová stena - Nezateplená časť,,,0.46199999999999997,307.8,0.7864302235929067
,STR1,Plochá strecha ŠD,,,0.9219999999999999,825.5,0.19555768862273304
,PDL1,Podlaha na teréne ŽS,,,0.15,825.5,0.26
,,,,,,,
,OO1,"plastové, izolačné 2-sklo",,,225.0,225.0,1.5
,DO1,"plastové, izolačné 2-sklo",,,240.0,240.0,1.5
