"posudenie obalovych konstrukcii R, U podla STN 73 0540-2,3",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,vhovuje,nevyhovuje,Unnamed: 8,Unnamed: 9,Unnamed: 10,Kategória budovy,Unnamed: 12,Číselník DPH,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Priemerný tepelný výkon vnútorných zdrojov tepla podľa STN 73 0540-2,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Osvetlenie,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77
,sucinitel pre podlahu STN EN ISO 13 370,,,,,,,,,,Rodinné domy,,áno,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bytové domy,,,,5,W/m2,,,,,Merný výkon,Merný výkon,CENA bez DPH (€),"merná cena     
bez DPH (€)",,Životnosť,,,,,,
,sirenie vlhkosti?,,,,,,,,,,Bytové domy,,nie,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rodinné domy,,,,4,W/m2,,,,,lm/W,v rozsahu,€,fix €/ks,var. €/W,h,,,,,,
,,,,,,,,,,,Priemerná vonkajšia teplota vykurovacieho obdobia (oC):,qae,3.86,0,,D° :,4432.4,379.38095238095235,189.69047619047618,227.62857142857143,321.3333333333333,160.66666666666666,192.8,301.1428571428571,150.57142857142856,180.68571428571428,217.14285714285714,108.57142857142857,130.28571428571428,24.28571428571428,12.14285714285714,14.57142857142857,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,21.9047619047619,10.95238095238095,13.142857142857142,212.57142857142856,106.28571428571428,127.54285714285716,277.14285714285717,138.57142857142858,166.28571428571428,355.76190476190476,177.88095238095238,213.4571428571429,D°,,Apríl,30,20,9.9,303,7.272,,,,vysokotlaká ortuťová výbojka,50,40 – 60,8.63,0,0.03,12000,,,,,,
,,,,,,,,,,,Priemerný počet vykurovacích dní:,d,212,0,,ti :,,20,20.0,20.0,20,20.0,20.0,20,20.0,20.0,20,20.0,20.0,20,20.0,20.0,20,20.0,20.0,20,20.0,20.0,20,20.0,20.0,20,20.0,20.0,20,20.0,20.0,20,20.0,20.0,20,20.0,20.0,°C,,Október,31,20,9.8,316.2,7.5888,,,,halogenidová výbojka ,75,60 – 130,39.83,82.98,0.16,12000,,,,,,
,,,,,,,,,,,Priemerný počet dennostupňov:,D,3421.5,0,,tem :,,-5.7,-5.7,-5.7,-4.1,-4.1,-4.1,-0.4,-0.4,-0.4,4.8,4.8,4.8,9.8,9.8,9.8,12.5,12.5,12.5,14,14.0,14.0,13.4,13.4,13.4,10.8,10.8,10.8,5.6,5.6,5.6,0.6,0.6,0.6,-4.1,-4.1,-4.1,°C,,November,30,20,4.3,471,11.304,,,,ortuťová výbojka,50,40 – 60 ,9.96,0,0.12,24000,,,,,,
,,,,,,,,,,,,,,,,hkr,,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,2.8,m,,December,31,20,-0.3,629.3000000000001,15.103200000000001,,,,induktívna výbojka ,70,60 – 80,99.58,132.78,1.17,100000,,,,,,
,,,,,,,,,,,Súčiniteľ škárovej prievzdušnosti,ivl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Suma spolu,212,20,26.9,3421.5000000000005,,,,,zmesová výbojka – 250 W,22,20 – 28,11.62,0,0.05,16000,,,,,,
,,,,,,,,,,,"kovové okná , škáry medzi rámom a krídlami, netesné",1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"drevené okná , škáry medzi rámom a krídlami, netesné",1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,minimálny inštalovaný príkon nového svietidla,príkonová rada svietidiel,,,,,,,,,,Výpočet minimálne inštalovaného príkonu nového svietidla,
,,,,,,,,,,,"Drevené, plastové a kovové okná s tesniacim profilom",1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[ W ],[ W ],,,,,,,,,,[ W ],
,,,,,,,,,,,iné podľa STN 73 0540-3:2012,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0
