SO1,Obvodová stena ŠD,Unnamed: 2,Unnamed: 3,465.1,Unnamed: 5,Unnamed: 6,Unnamed: 7,STR1,Plochá strecha ŠD,Unnamed: 10,Unnamed: 11,825.5,Unnamed: 13,Unnamed: 14,Unnamed: 15,PDL1,Podlaha na teréne ŽS,Unnamed: 18,Unnamed: 19,825.5.1,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
Odpor pri prestupe tepla na vnútornej strane k-cie ,,,Rsi =,0.13,,,,Odpor pri prestupe tepla na vnútornej strane k-cie,,,Rsi =,0.1,,,,Odpor pri prestupe tepla na vnútornej strane k-cie ,,,Rsi =,0.17,posudenie na R,,,,
Názov vrstvy konštrukcie,,dj [m],λj [W/(m.K)],Rj [m2.K/W],,,,Názov vrstvy konštrukcie,,dj [m],λj [W/(m.K)],Rj [m2.K/W],,,,Názov vrstvy konštrukcie,,dj [m],λj [W/(m.K)],Rj [m2.K/W],,,,,
Vápennocementová omietka,,0.0015,0.9,0.0016666666666666666,,,,TI minerálna vlna,,0.12,0.05,2.4,,,,,,,,,,,,,
Pórobetónové tvárnice,,0.3,0.35,0.8571428571428572,,,,Spiroll,,0.25,1.2,0.20833333333333334,,,,cementový poter,,0.033,1.16,0.02844827586206897,,,,,
TI minerálna vlna,,0.08,0.04,2,,,,TI čadič,,0.12,0.08,1.5,,,,betón hutný,,0.055,1.02,0.05392156862745098,,,,,
,,,,,,,,vzduchová medzera,,0.18,1.3,0.13846153846153844,,,,TI,,0.06,0.05,1.2,,,,,
,,,,,,,,HI,,0.002,0.16,0.0125,,,,,,,,,,,,,
,,,,,,,,pórobetónový panel,,0.25,0.35,0.7142857142857143,,,,HI PVC fólia,,0.002,0.21,0.009523809523809525,,,,,
Celková hrúbka konštrukcie ,,0.3815,∑Rj = ,2.8588095238095237,,,,,,,,,,,,,,,,,,,,,
Odpor pri prestupe tepla na vonkajšej strane k-cie,,,Rse =,0.04,,,,Celková hrúbka konštrukcie ,,0.9219999999999999,∑Rj = ,4.973580586080587,,,,,,,,,,,,,
