Lokalita,"Teoretické možné množstvo energie dopadajúcej za deň na plochu v jednotlivých mesiacoch Qs,deň,teor. (kWh/m2)",Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Plochý kolektor 45°,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
A,16.31,,,,,,,,,,,,,,,,,,,,
Uloop,16.655,,,,,,,,,,,,,,,,,,,,
nloop,0.6,,,,,,,,,,,,,,,,,,,,
TZ,88.4448,,,,,,,,,,,,,,,,,,,,
TL,57.032000000000004,,,,,,,,,,,,,,,,,,,,
fst,1.3439124868764025,1.3439124868764025,Qsol,,,,,,,,,,,,,,,,,,
tm,744,88.4448,16936762.239999995,,,,,,,,,,,,,,,,,,
,672,88.4448,,,,,,,,,,,,,,,,,,,
,744,88.4448,,,,,,,,,,,,,,,,,,,
,720,88.4448,,,,,,,,,,,,,,,,,,,
,744,57.032000000000004,,,,,,,,,,,,,,,,,,,
,720,57.032000000000004,,,,,,,,,,,,,,,,,,,
,744,57.032000000000004,,,,,,,,,,,,,,,,,,,
,744,57.032000000000004,,,,,,,,,,,,,,,,,,,
,720,57.032000000000004,,,,,,,,,,,,,,,,,,,
,744,88.4448,,,,,,,,,,,,,,,,,,,
,720,88.4448,,,,,,,,,,,,,,,,,,,
,744,88.4448,,,,,,,,,,,,,,,,,,,
Qdem,17353.237416666667,,,,,,,,,,,,,,,,,,,,
