Ozn.,Otvorové konštrukcie,orientácia,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,počet,rozmer A x B,Unnamed: 9,obvod,plocha,Škára,Uw,SUMA S,SUMA O,SUMA L,Unnamed: 17,posudenie vyhovuje nevuhovuje tabulka
DO4,"plastové, izolačné 2-sklo",,,1,,,1,0.8,2.05,2.5488,1.64,5.13,1.5,1.64,2.5488,5.13,,
DO5,"plastové, izolačné 2-sklo",,,,1,,1,0.8,1.97,4.9056,1.576,4.986,1.5,1.576,4.9056,4.986,,
DO6,"plastové, izolačné 2-sklo",1,,,,,1,0.8,1.97,2.9328000000000003,1.576,4.986,1.5,1.576,2.9328000000000003,4.986,,
DO7,hliník,1,,,,,1,1.05,2.1,2,2.205,5.670000000000001,1.5,2.205,2,5.670000000000001,,
DO8,hliník,1,,,,,1,1.45,2.1,3.94,3.045,6.39,1.5,3.045,3.94,6.39,,
DO9,hliník,,,,1,,1,1.05,2.1,3.6592000000000002,2.205,5.670000000000001,1.5,2.205,3.6592000000000002,5.670000000000001,,
DO10,"kovové, izolačné 2-sklo",1,,,,,1,2.1,2.4,1.0032,5.04,8.1,5.6,5.04,1.0032,8.1,,
DO11,"kovové, izolačné 2-sklo",,,1,,,1,0.9,2.85,1.1748,2.565,6.75,5.6,2.565,1.1748,6.75,,
DO12,"plastové, izolačné 2-sklo",,,1,,,1,2.7,2.85,2.1913,7.695000000000001,9.990000000000002,1.4,7.695000000000001,2.1913,9.990000000000002,,
DO13,Sekciová brána,2,,,,,2,2.4,2.4,2.4,5.76,8.64,1.4,11.52,4.8,8.64,,
,,,,,,,,,,,,,,,,,,
Plocha Dvere spolu podľa svetovej strany,,23.386,245.04,226.10000000000002,3.781,0,212,,,,,,,,,,,
,,,,,,,553,,519.7,,,,,1625.1034,,,,
